Lot_number1	Lot_number2	Estimate_from1	Estimate_from2	Estimate_to1	Estimate_to2	Currency1	Currency2	Price1	Price2	Auction_date1	Auction_date2	Auction_time1	Auction_time2	Auction_location1	Auction_location2	Description1	Description2	link1	link2	Provenance1	Provenance2	Norm_price1	Norm_price2	Norm_estimate_from1	Norm_estimate_from2	Norm_estimate_to1	Norm_estimate_to2	Author	Art	Image	Days_distance	Resale_income	Estimate_from_income	Estimate_to_income
30	49	150000	120000	200000	180000	USD	EUR	157000	193500	20.11.2007	04.06.2014	1899-12-28 00:00:00	1900-01-03 18:30:00	New York	Paris	 fernand léger(1881-1955) ten sketches for the opera bolívar   1.viva bolívarinscribed bolívar projet on the reversewatercolor, ink and graphite on paper12 by 16 1/8  in.(30.5 by 41 cm)executed circa 1950.2.paysage des andessigned, titled and dated 48-49 lower center; also inscribed un souvenir de notre bolívar, à georges hirsch, ton confidant, léger lower left and 3º état, f. léger, la plaine, premiere esquisse lower rightgouache and graphite on brown paper laid down on thick paper13 3/4  by 10 7/8  in.(35 by 27.5 cm)executed circa 1948-49.3.sans titre (act i, scenes i&ii)signed lower right and inscribed i acte 1 et 2eme scènes upper and lower edges; also inscribed bolívar maquette on the reversegouache, ink and graphite on paper9 3/4  by 12 3/4  in.(24.7 by 32.4 cm)executed circa 1950.4.sans titre (act i, scene iv)inscribed acte i, scène iv lower rightwatercolor, graphite and ink on paper7 5/8  by 12 3/4  in.(19.4 by 32.4 cm)executed circa 1950.5.sans titreinscribed bolívar étude and dated 49 on the reversewatercolor, ink and graphite on paper10 7/8  by 13 3/4  in.(27.6 by 35 cm)6.estrade des musicienssigned, titled and dated bolívar-49 lower right; also signed and dated on the reversewatercolor, graphite and ink on paper7 7/8  by 10 in.(20 by 25.4 cm)7.paysage des andesinscribed bol. étude lower left and on the reversewatercolor, graphite and ink on paper8 1/4  by 10 5/8  in.(21 by 27 cm)executed in 1949.8.le passage des andessigned, titled and dated 49 lower rightwatercolor, gouache, graphite and ink on paper7 5/8  by 12 5/8  in.(19.4 by 32.1 cm)9.venezuelainscribed maquette pour bolívar on the reversegouache, ink and graphite on paper12 3/8  by 16 1/8  in.(31.5 by 41 cm)executed circa 1950.10.mort de bolívar (act iii, scene iii)signed and dated 49 lower rightgouache, graphite and ink on paper9 3/8  by 11 in.(23.8 by 28 cm)  	 fernand léger 1881 - 1955 dix esquisses pour l'opéra bolivar     	https://www.sothebys.com/en/auctions/ecatalogue/2007/latin-american-art-n08367/lot.30.html	https://www.sothebys.com/en/auctions/ecatalogue/2014/art-impressionniste-et-moderne-pf1406/lot.49.html	"
 sale: sotheby's, london, impressionist and modern art and ceramics, october 21, 1998, lots 222 (no. 3), 223 (no. 2), 225 (no. 6), 230 (no. 4), 231 (no. 1), 233 (no. 5), 236 (no. 10), 239 (no. 9) and 242 (no. 8), all illustrated in color
 "	"
 sale: sotheby's, london, 21 october 1998, lots 222 (no. 3), 223 (no. 2), 225 (no. 6), 230 (no. 4), 231 (no. 1), 233 (no. 5), 236 (no. 10), 239 (no. 9) and 242 (no. 8)acquired at the above sale and sold : sotheby's, new york, 20 november 2007, lot 30acquired at the above sale by the present owner
 "	174206	288573	166439	178960	221918	268440	fernand leger	DIX ESQUISSES POUR L'OPÉRA BOLIVAR	https://www.sothebys.com/content/dam/stb/lots/PF1/PF1406/1000PF1406_7DBRW_web1.jpg	2388	114367	12521	46522
224	106	20000	25000	30000	35000	GBP	GBP	31200	36050	20.06.2007	20.06.2012	1900-01-02 08:00:00	1900-01-02 09:30:00	London	London	 fernand léger 1881 - 1955 sao paulo, 'la danse'   signed f.l. (lower right); signed f.l. on the reversebrush and ink over pencil on paper50 by 39.4cm., 19 5/8 by 15 1/2 in.executed in 1942.  	 fernand léger 1881 - 1955 sao paolo, 'la danse'   signed f.l. (lower right); signed f.l. on the reversebrush and ink over black crayon on paper50.2 by 39.5cm., 19 3/4 by 15 1/2 in.executed in 1942.  	https://www.sothebys.com/en/auctions/ecatalogue/2007/impressionist-modern-works-on-paper-l07009/lot.224.html	https://www.sothebys.com/en/auctions/ecatalogue/2012/impressionist-modern-art-day-sale-l12007/lot.106.html	"
 e. & r. cyzer, londonprivate collection, paris
 "	"
 e. & r. cyzer, londonprivate collection, parissale: sotheby's, london, 20th june 2007, lot 224purchased at the above sale by the present owner
 "	48232	59404	30918	41195	46377	57674	fernand leger	SAO PAOLO, 'LA DANSE'	https://www.sothebys.com/content/dam/stb/lots/L12/L12007/044L12007_6G46R.jpg	1827	11172	10277	11297
190	354	40000	60000	60000	80000	GBP	GBP	74400	127250	20.06.2006	09.02.2012	1900-01-02 09:30:00	1900-01-02 10:30:00	London	London	 fernand léger 1881 - 1955 composition murale   brush and ink and gouache on paper65.5 by 50cm., 25 3/4 by 19 5/8 in.executed circa 1938.  	 fernand léger 1881 - 1955 composition murale   brush and ink and gouache on paper65.4 by 50.2 cm25 3/4 by 19 3/4 in.executed circa 1938.  	https://www.sothebys.com/en/auctions/ecatalogue/2006/impressionist-modern-works-on-paper-l06009/lot.190.html	https://www.sothebys.com/en/auctions/ecatalogue/2012/impressionist-modernt-art-day-sale-l12005/lot.354.html	"
 lucien lefebvre-foinet, parisgalerie krugier & cie., genevagalerie d'art moderne, baselacquired from the above by the father of the present owner in the late 1970s
 "	"
 lucien lefebvre-foinet, parisgalerie krugier & cie., genevagalerie d'art moderne, baselprivate collection, switzerland (acquired from the above in the late 1970s)thence by descent (sale: sotheby's, london, 20th june 2006, lot 190purchased at the above sale by the present owner
 "	112834	214295	60663	101043	90995	134724	fernand leger	COMPOSITION MURALE	https://www.sothebys.com/content/dam/stb/lots/L12/L12005/844L12005_6BL8D.jpg	2060	101461	40380	43729
25	63	800000	1800000	1200000	2500000	USD	USD	912000	1874500	02.11.2005	02.11.2011	1899-12-28 00:00:00	1899-12-28 23:00:00	New York	New York	 fernand léger 1881 - 1955 le profil   signed and dated f. léger.26 (lower right)oil on canvas36 1/4 by 28 1/2 in.92 by 72.4 cm  	 fernand léger 1881-1955 le profil   signed f. léger and dated 26 (lower right)oil on canvas36 3/4 by 28 1/2 in.92 by 72.5 cmpainted in 1926.  	https://www.sothebys.com/en/auctions/ecatalogue/2005/impressionist-and-modern-art-part-one-n08125/lot.25.html	https://www.sothebys.com/en/auctions/ecatalogue/2011/impressionist-and-modern-art-evening-sale-n08789/lot.63.html	"
 galerie simon, paris
galerie louise leiris, paris
alex maguy, paris
private collection
 "	"
 galerie simon, paris
galerie louise leiris, paris
alex maguy, paris
private collection (sold: sotheby's, new york, november 2, 2005, lot 25)
acquired at the above sale by the present owner
 "	995206	2225323	872988	2136880	1309482	2967889	fernand leger	LE PROFIL	https://www.sothebys.com/content/dam/stb/lots/N08/N08789/360N08789_6872M.jpg	2191	1230117	1263892	1658407
290	339	150000	220000	200000	280000	USD	USD	192000	242500	04.05.2005	06.05.2010	1899-12-28 14:15:00	1899-12-28 14:00:00	New York	New York	 fernand léger 1881 - 1955 femme à l'écharpe   signed with the initials, dated and inscribed f.l. 53 très amicalement à m. et mme. marcenac f. et m. léger (lower right); also titled and numbered g 350 femme à l'écharpe-etude, verso watercolor and gouache on paper21 7/8 by 17 3/8 in.55.6 by 44.1cm  	 fernand léger 1881 - 1955 femme à l'écharpe   signed with the initials f.l., dated 53, and inscribed très amicalement à m. et mme. marcenac f. et m léger (lower right); also titled and numbered g 350 femme à l'écharpe-étude (on the verso)watercolor and gouache on paper21 7/8 by 17 3/8 in.55.6 by 44.1 cmexecuted in 1953.  	https://www.sothebys.com/en/auctions/ecatalogue/2005/impressionist-modern-art-part-two-n08090/lot.290.html	https://www.sothebys.com/en/auctions/ecatalogue/2010/impressionist-modern-art-day-sale-n08634/lot.339.html	"
 sale: christie's, london, june 28, 1994, lot 188
 "	"
 sale: christie's, london, june 28, 1994, lot 188gianni versace, new york (acquired at the above sale and sold: sotheby's, new york, may 4, 2005, lot 290)acquired at the above sale by the present owner
 "	210523	285834	164471	259314	219295	330036	fernand leger	FEMME À L'ÉCHARPE	https://www.sothebys.com/content/dam/stb/lots/N08/N08634/N08634-339-lr-1.jpg	1828	75311	94843	110741
46	25	400000	380000	600000	450000	GBP	GBP	457250	457250	25.06.2008	24.06.2009	1900-01-02 18:00:00	1900-01-02 18:00:00	London	London	 fernand léger 1881 - 1955 nature morte au citron   signed f. leger and dated 38 (lower right); signed f. leger, titled and dated 38 on the reverseoil on canvas65 by 50cm.25 5/8 by 19 3/4 in.painted in 1938.  	 fernand léger 1881-1955 nature morte au citron   signed f. leger and dated 38 (lower right); signed f. leger, titled and dated 38 on the reverseoil on canvas65 by 50cm.25 5/8 by 19 5/8 in.painted in 1938.  	https://www.sothebys.com/en/auctions/ecatalogue/2008/impressionist-modern-art-evening-sale-l08007/lot.46.html	https://www.sothebys.com/en/auctions/ecatalogue/2009/impressionist-and-modern-art-evening-sale-l09606/lot.25.html	"
 galerie louis carré, paris (acquired from the artist)galerie blanche, stockholmeva burén, stockholmacquired from the above by the present owner in december 1971
 "	"
 galerie louis carré, paris (acquired from the artist)galerie blanche, stockholmeva burén, stockholmprivate collection, europe (acquired from the above in december 1971. sold: sotheby's, london, 25th june 2008, lot 46)purchased at the above sale by the present owner
 "	715528	726309	625940	603603	938910	714793	fernand leger	NATURE MORTE AU CITRON	https://www.sothebys.com/content/dam/stb/lots/L09/L09606/L09606-25-lr-1.jpg	364	10781	-22337	-224117
211	387	350000	450000	450000	650000	USD	USD	452800	723200	04.05.2005	09.05.2007	1899-12-28 14:15:00	1899-12-28 14:00:00	New York	New York	 fernand léger 1881 - 1955 composition aux trois fruits   signed and dated f. leger 38 (lower right); also signed, titled and dated on the reverseoil on canvas25 5/8 by 21 1/2 in.65 by 54.5cm  	 fernand léger 1881 - 1955 composition aux trois fruits   signed and dated f. leger 38 (lower right); also signed, titled and dated on the reverseoil on canvas25 5/8 by 21 1/2 in.65 by 54.5cm  	https://www.sothebys.com/en/auctions/ecatalogue/2005/impressionist-modern-art-part-two-n08090/lot.211.html	https://www.sothebys.com/en/auctions/ecatalogue/2007/impressionist-and-modern-art-day-sale-n08315/lot.387.html	"
 sergio camargo, brazil (acquired from the artist)joe kantor, são paulowaddington galleries, londonprivate collection, new york (sold: sotheby's, london, june 26, 1990, lot 53)private collection, sweden (acquired at the above sale)private collection, new yorkmichelle rosenfeld gallery, new yorkacquired from the above by the present owner in 1994
 "	"
 sergio camargo, brazil (acquired from the artist)joe kantor, são paulowaddington galleries, londonprivate collection, new york (sold: sotheby's, london, june 26, 1990, lot 53)private collection, sweden (acquired at the above sale)private collection, new yorkmichelle rosenfeld gallery, new yorkprivate collection, new jersey (acquired from the above, 1994 and sold: sotheby's, new york, may 4, 2005, lot 211)acquired at the above sale by the present owner 
 "	496485	805615	383767	501281	493415	724073	fernand leger	COMPOSITION AUX TROIS FRUITS	https://www.sothebys.com/content/dam/stb/lots/N08/N08315/N08315-387-lr-1.jpg	735	309130	117514	230658
140	60	600000	1250000	800000	1750000	USD	USD	960000	1976000	06.05.2004	07.11.2006	1899-12-28 23:00:00	1899-12-28 00:00:00	New York	New York	 fernand léger 1881 - 1955 composition aux deux papillons (la femme aux papillons)   signed and dated 43/f.leger (lower right); signed twice, dated and titled f. leger 43/composition aux 2 papillons on the reverse oil on canvas29 3/4 by 36 in.73 by 92 cm  	 fernand léger 1881 - 1955 composition aux deux papillons (la femme aux papillons)   signed and dated 43 f.leger (lower right); signed twice, dated and titled f. leger 43 composition aux 2 papillons on the reverse oil on canvas29 by 36 in.73.5 by 91.5 cmpainted in 1943.  	https://www.sothebys.com/en/auctions/ecatalogue/2004/impressionist-and-modern-art-part-one-n07990/lot.140.html	https://www.sothebys.com/en/auctions/ecatalogue/2006/impressionist-modern-art-evening-n08239/lot.60.html	"
 galerie louis carré, parissaidenberg gallery, new yorkmr. and mrs. joseph l. blockacquired from the above in 1988
 "	"
 galerie louis carré, parissaidenberg gallery, new york
mr. and mrs. joseph l. block
the art institute of chicago (acquired from the above in 1988 and sold: sotheby's, new york, may 6, 2004, lot 140)
acquired at the above sale by the present owner
 "	1041830	2159831	651144	1366290	868192	1912806	fernand leger	COMPOSITION AUX DEUX PAPILLONS (LA FEMME AUX PAPILLONS)	https://www.sothebys.com/content/dam/stb/lots/N08/N08239/159283434_N08239-60-1.jpg	915	1118001	715146	1044614
17	217	250000	700000	300000	900000	USD	USD	411200	980000	16.11.2004	17.05.2019	1899-12-28 00:00:00	1899-12-28 14:00:00	New York	New York	 fernando botero(b. 1932) madonna and child (nuestra señora del carmen)   oil on canvassigned and dated 67 lower right; also signed and dated on the reverse84 1/2 by 70 in.(214.5 by 177.7 cm)  	 fernando botero b. 1932 madonna and child (nuestra señora del carmen)   signed and dated 67; signed and dated 67 on the reverseoil on canvas84 1/2 by 70 in. 214.6 by 177.8 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2004/latin-american-art-n08030/lot.17.html	https://www.sothebys.com/en/auctions/ecatalogue/2019/contemporary-art-day-n10070/lot.217.html	"
 galerie buchholz, munichacquired from the above by the present owner (1968)
 "	"
 galerie buccholz, munich private collection, germany (acquired from the above in 1968) sotheby's, new york, 16 november 2004, lot 17private collection, united states (acquired from the above sale)acquired from the above by the present owner 
 "	442023	1361178	268739	972270	322487	1250062	fernando botero	MADONNA AND CHILD (NUESTRA SEÑORA DEL CARMEN)	https://www.sothebys.com/content/dam/stb/lots/N10/N10070/218N10070_B4SPW.jpg	5295	919155	703531	927575
49	43	300000	350000	400000	450000	USD	USD	362500	485000	27.05.2009	20.11.2013	1899-12-28 23:00:00	1899-12-28 00:00:00	New York	New York	 fernando botero(b. 1933) mother superior   signed and dated 06 lower rightoil on canvas76 by 50 in.193 by 127 cm  	 fernando botero(b. 1932) mother superior   signed and dated 06 lower rightoil on canvas76 1/3 by 50 in.194 by 127 cm  	https://www.sothebys.com/en/auctions/ecatalogue/2009/latin-american-art-n08557/lot.49.html	https://www.sothebys.com/en/auctions/ecatalogue/2013/latin-american-art-n09044/lot.43.html	"
 marlborough gallery, new york acquired from the above by the present owner
 "	"
 marlborough gallery, new yorkprivate collection, parissale: sotheby's, new york, latin american art, may 27, 2009, lot 49, illustrated in color
 "	415953	592567	344237	427625	458983	549804	fernando botero	MOTHER SUPERIOR	https://www.sothebys.com/content/dam/stb/lots/N09/N09044/025N09044_6zchm.jpg	1638	176614	83388	90821
8	151	60000	20000	80000	30000	EUR	GBP	72000	35000	19.06.2007	06.07.2017	1900-01-03 00:30:00	1900-01-02 09:30:00	Paris	London	 filippo laurirome 1623 - 1694 rome 1623 - 1694 bacchanale avec offrande à la statue du dieu panfilippo lauri ; bacchanale offering various goods to pan statue ; signed and dated lower left, on the monument, filippo lauro. f. 1645, and numbered on reverse n1194 ; oil on canvas   signé et daté en bas à gauche filippo lauro. f. 1645au revers de la toile numéro  n1194 huile sur toile43,5 x 70,5 cm ; 17 1/8 x 27 3/4 in.  	 filippo lauri rome 1623 - 1694 a bacchanal, with offerings strewn around a statue of pan   signed and dated lower left on the plinth: filippo lauro. f. 1645oil on canvas43.8 x 70.5 cm.; 17 1/4  x 27 3/4  in.  	https://www.sothebys.com/en/auctions/ecatalogue/2007/old-master-and-19th-century-drawings-and-paintings-pf7008/lot.8.html	https://www.sothebys.com/en/auctions/ecatalogue/2017/old-masters-day-sale-l17034/lot.151.html		"
 private collector, france;by whom sold, paris, sotheby's, 19 june 2007, lot 8;with galerie bernheimer, munich.
 "	95291	65730	79409	37560	105879	56340	filippo lauri	A BACCHANAL, WITH OFFERINGS STREWN AROUND A STATUE OF PAN	https://www.sothebys.com/content/dam/stb/lots/L17/L17034/162L17034_9FKBJ.jpg	3670	-29561	-41849	-49539
419	152	5000	8000	7000	12000	GBP	GBP	7800	10000	05.07.2005	09.12.2010	1899-12-25 10:00:00	1900-01-02 10:30:00	Olympia	London	 floris gerritsz. van schooten haarlem(?) circa 1590 - 1656 haarlem still life with grapes, logan berries, plums, an apple and a glass  together on a table   signed with monogram lower centre on the peach: fv.soil on panel38 by 55 cm.; 15 by 21 3/4 in.  	 floris van schooten haarlem(?) circa 1590 - 1656 haarlem still life with grapes, loganberries, plums, an apple and a glass together on a table   signed with intitials lower centre on the peach: fv.soil on panel38 by 54.5 cm.; 15 by 21 1/2 in.  	https://www.sothebys.com/en/auctions/ecatalogue/2005/old-master-paintings-w05717/lot.419.html	https://www.sothebys.com/en/auctions/ecatalogue/2010/old-master-british-paintings-day-sale-l10037/lot.152.html		"
 anonymous sale (""property from a private collection""), olympia, sotheby's, 5 july 2005, lot 419.
 "	11794	16333	7560	13066	10585	19600	floris van schooten	STILL LIFE WITH GRAPES, LOGANBERRIES, PLUMS, AN APPLE AND A GLASS TOGETHER ON A TABLE	https://www.sothebys.com/content/dam/stb/lots/L10/L10037/L10037-152-lr-1.jpg	1983	4539	5506	9015
244	225	30000	60000	40000	80000	GBP	USD	87500	131250	10.03.2015	26.09.2019	1900-01-02 19:00:00	1899-12-28 14:00:00	London	New York	 francesco clemente b.1952 the skull   oil on canvas117 by 234cm .; 46 by 92 1/8 in.executed in 1997.  	 francesco clemente b. 1952 the skull   oil on canvas46 by 92 1/8 in. 117 by 234 cm.executed in 1997.  	https://www.sothebys.com/en/auctions/ecatalogue/2015/bear-witness-l15026/lot.244.html	https://www.sothebys.com/en/auctions/ecatalogue/2019/contemporary-curated-n10116/lot.225.html	"
 gagosian gallery, new york
acquired directly from the above by the present owner in 2002
 "	"
 gagosian gallery, new yorkprivate collection (acquired from the above in 2002)sotheby's, london, 10 march 2015, lot 244acquired from the above sale by the present owner
 "	159061	181854	54535	83133	72713	110844	francesco clemente	THE SKULL	https://www.sothebys.com/content/dam/stb/lots/N10/N10116/725N10116_B7YYB.jpg	1661	22793	28598	38131
115	532	6000	5000	8000	7000	USD	USD	8125	10000	05.06.2014	01.02.2018	1899-12-28 14:00:00	1899-12-28 15:00:00	New York	New York	 attributed to francesco furini florence 1604 - 1646 narcissus   oil on canvas, laid down on board35  3/4  by  57 inches; 90.8 by 144.8 cm.  	 attributed to francesco furini florence 1604 - 1646 narcissus with a mountainous landscape beyond   oil on canvas, laid down on board35 3/4  by 57 in.; 90.8 by 144.8 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2014/old-master-paintings-n09161/lot.115.html	https://www.sothebys.com/en/auctions/ecatalogue/2018/fine-old-master-19th-century-european-art-n09814/lot.532.html		"
 anonymous sale, new york, sotheby's, 5 june 2014, lot 115;there acquired by the present owner.
 "	10182	13877	7519	6938	10025	9714	francesco furini	NARCISSUS	https://www.sothebys.com/content/dam/stb/lots/N09/N09814/171N09814_9MJXS.jpg	1337	3695	-581	-311
34	76	150000	200000	250000	300000	GBP	USD	269000	250000	06.07.2016	30.01.2019	1900-01-02 18:00:00	1899-12-28 23:00:00	London	New York	 francesco guardi venice 1712 - 1793 a view of la porta del dolo on the brenta canal on the venetian mainland   oil on panel44 x 32 cm.; 17 3/8  x 12 5/8  in.  	 francesco guardi venice 1712 - 1793 a view of la porta del dolo on the brenta canal   oil on panel17 3/8  by 12 5/8  in.; 44 by 32 cm.  	https://www.sothebys.com/en/auctions/ecatalogue/2016/old-master-british-paintings-evening-l16033/lot.34.html	https://www.sothebys.com/en/auctions/ecatalogue/2019/master-paintings-evening-n10007/lot.76.html	"
 probably acquired by abdy in paris;
with agnew's, london.
 "	"
 probably acquired by abdy in paris (according to a label on the reverse);with agnew's, london;mabel g. deakin (1892-1977);sold by her descendants, london, sotheby's, 6 july 2016, lot 34 (for £269,000);there acquired. 
 "	493131	351381	274980	281105	458301	421657	francesco guardi	A VIEW OF LA PORTA DEL DOLO ON THE BRENTA CANAL	https://www.sothebys.com/content/dam/stb/lots/N10/N10007/045N10007_9ZPZ5.jpg	938	-141750	6125	-36644
102	42	25000	30000	35000	50000	USD	USD	80500	37500	25.01.2012	30.01.2019	1899-12-28 15:00:00	1899-12-28 15:00:00	New York	New York	 francesco guardi venice 1712 - 1793 an architectural capriccio with a church to the left   pen and brown ink and wash over traces of black chalk240 by 199 mm; 9 7/16 by 7 13/16 in  	 francesco guardi venice 1712 - 1793 an architectural capriccio with a church to the left   pen and brown ink and wash over traces of black chalk240 by 199 mm; 9 1/2  by 7 7/8  in  	https://www.sothebys.com/en/auctions/ecatalogue/2012/old-master-drawings-n08824/lot.102.html	https://www.sothebys.com/en/auctions/ecatalogue/2018/old-master-drawings-n10006/lot.42.html	"
 crisnoy de lyonne (from h. shickman gallery label on backboard)
 "	"
 crisnoy de lyonne (from h. shickman gallery label on backboard);sale, new york, sotheby's, 25 january 2012, lot 102
 "	97929	52707	30412	42165	42578	70276	francesco guardi	AN ARCHITECTURAL CAPRICCIO WITH A CHURCH TO THE LEFT	https://www.sothebys.com/content/dam/stb/lots/N10/N10006/728N10006_6JD8M.jpg	2562	-45222	11753	27698
66	115	8000	15000	12000	20000	GBP	GBP	19200	18750	05.07.2006	08.07.2015	1900-01-02 09:30:00	1900-01-02 09:00:00	London	London	 francesco guardi venice 1712 - 1793 venice 1712 - 1793 the interior of the church of s. zanipolo, venice   pen and brown ink and wash180 by 200mm  	 francesco guardi venice 1712 - 1793 the interior of the church of s. zanipolo, venice   pen and brown ink and wash180 by 200 mm  	https://www.sothebys.com/en/auctions/ecatalogue/2006/old-master-drawings-l06040/lot.66.html	https://www.sothebys.com/en/auctions/ecatalogue/2015/old-master-british-drawings-l15040/lot.115.html		"
 sale, london, sotheby's, 5 july 2006, lot 66
 "	29068	33718	12112	26975	18168	35966	francesco guardi	THE INTERIOR OF THE CHURCH OF S. ZANIPOLO, VENICE	https://www.sothebys.com/content/dam/stb/lots/L15/L15040/010L15040_826ZB.jpg	3290	4650	14863	17798
217	170	80000	30000	120000	50000	EUR	GBP	96750	43750	19.10.2010	08.12.2016	1900-01-03 16:30:00	1900-01-02 10:30:00	Milan	London	 francesco solimena canale di serino 1657-1747 barra giuseppe e la moglie di putifarre   olio su telaoil on canvas74 x 96 cm.  	 francesco solimena canale di serino 1657 - 1747 barra joseph and potiphar’s wife   oil on canvas74 x 96 cm.; 29 1/8  x 37 3/4  in.  	https://www.sothebys.com/en/auctions/ecatalogue/2010/important-old-master-paintings-chinese-works-of-art-furniture-and-silver-from-a-milanese-private-collection-mi0312/lot.217.html	https://www.sothebys.com/en/auctions/ecatalogue/2016/old-masters-day-sale-l16037/lot.170.html		"
 anonymous sale ('una collezione privata milanese'), milan, sotheby’s, 19 october 2010, lot 217, where purchased by the present owner.
 "	135479	79786	112024	54710	168036	91184	francesco solimena	JOSEPH AND POTIPHAR’S WIFE	https://www.sothebys.com/content/dam/stb/lots/L16/L16037/604L16037_7LN8D_1.jpg	2242	-55693	-57314	-76852
170	805	40000	20000	60000	30000	GBP	GBP	69600	50000	07.07.2005	30.04.2014	1900-01-02 09:30:00	1900-01-02 09:30:00	London	London	 francesco solimena canale di serino 1657 - 1747 barra noli me tangere   oil on canvas66 by 49.5 cm.; 26 by 19 1/2 in.  	 francesco solimena canale di serino 1657 - 1747 barra noli me tangere   oil on canvas65 by 49.7 cm.; 25 5/8  by 19 1/2  in.  	https://www.sothebys.com/en/auctions/ecatalogue/2005/old-master-paintings-day-sale-l05032/lot.170.html	https://www.sothebys.com/en/auctions/ecatalogue/2014/old-master-british-paintings-l14030/lot.805.html	"
 in a family collection from before 1900 until sold, new york, sotheby's, 30 january 1998, lot 41, for $77,000 to the present owner.
 "	"
 anonymous sale, new york, sotheby's, 30 january 1998, lot 41, for $77,000;anonymous sale, london, sotheby's, 7 july 2005, lot 170, for £58,000, where acquired by the present owner.
 "	105245	88035	60486	35214	90729	52821	francesco solimena	NOLI ME TANGERE	https://www.sothebys.com/content/dam/stb/lots/L14/L14030/173L13034_5ZSZK.jpg	3219	-17210	-25272	-37908
53	328	500000	400000	700000	600000	EUR	GBP	696750	495000	03.06.2010	20.06.2019	1900-01-03 17:00:00	1900-01-02 09:30:00	Paris	London	 francis picabia 1879 - 1953 couple amoureux   signé francis picabia (en bas à gauche)technique mixte sur carton103,8 x 72,7 cm40 7/8 x 28 1/2 in.peint vers 1924-27.  	 francis picabia 1879 - 1953 couple amoureux   signed francis picabia (lower left)oil and ripolin on board103.8 by 72.5cm., 40 7/8 by 28 1/2 in.painted circa 1925-26.  	https://www.sothebys.com/en/auctions/ecatalogue/2010/impressionist-and-modern-art-pf1014/lot.53.html	https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-day-sale-l19007/lot.328.html	"
 danute jesaitis picabia, paris (belle-fille de l'artiste)collection particulière (acquis du précédent et vendu : sotheby's, new york, 23 février 1984, lot 65)collection particulière (vente : sotheby's, londres, 4 décembre 2000, lot 36)m. & mme george lindemann, usa (vente : sotheby's, new york, 3 mai 2006, lot 51)acquis lors de cette vente par le propriétaire actuel
 "	"
 danute jesaitis picabia, paris (the artist's daughter-in-law)private collection (a gift from the above; sale: sotheby's, new york, 23rd february 1984, lot 65)private collection (purchased at the above sale; sale: sotheby's, london, 4th december 2000, lot 36)mr & mrs george lindemann, u.s.a. (purchased at the above sale)sale: sotheby's, new york, 3rd may 2006, lot 51private collection, geneva (purchased at the above sale; sale: sotheby's, paris, 3rd june 2010, lot 53)purchased at the above sale by the present owner
 "	976655	952561	700865	769746	981211	1154619	francis picabia	COUPLE AMOUREUX	https://www.sothebys.com/content/dam/stb/lots/L19/L19007/184L19007_8ZH7R.jpg	3304	-24094	68881	173408
51	328	200000	400000	300000	600000	USD	GBP	553600	495000	03.05.2006	20.06.2019	1899-12-28 23:00:00	1900-01-02 09:30:00	New York	London	 francis picabia 1879 - 1953 couple amoureux   signed francis picabia (lower left)mixed media on board40 7/8 by 28 1/2 in.103.8 by 72.7cmpainted circa 1924.   	 francis picabia 1879 - 1953 couple amoureux   signed francis picabia (lower left)oil and ripolin on board103.8 by 72.5cm., 40 7/8 by 28 1/2 in.painted circa 1925-26.  	https://www.sothebys.com/en/auctions/ecatalogue/2006/impressionist-modern-art-evening-sale-n08195/lot.51.html	https://www.sothebys.com/en/auctions/ecatalogue/2019/impressionist-modern-day-sale-l19007/lot.328.html	"
 danute jesaitis picabia, paris (daughter-in-law of the artist) 
private collection (acquired from the above and sold: sotheby's, new york, february 23, 1984, lot 65) 
private collection (sold: sotheby's, london, december 4, 2000, lot 36) 
acquired at the above sale by the present owner 
 "	"
 danute jesaitis picabia, paris (the artist's daughter-in-law)private collection (a gift from the above; sale: sotheby's, new york, 23rd february 1984, lot 65)private collection (purchased at the above sale; sale: sotheby's, london, 4th december 2000, lot 36)mr & mrs george lindemann, u.s.a. (purchased at the above sale)sale: sotheby's, new york, 3rd may 2006, lot 51private collection, geneva (purchased at the above sale; sale: sotheby's, paris, 3rd june 2010, lot 53)purchased at the above sale by the present owner
 "	605952	952561	218913	769746	328370	1154619	francis picabia	COUPLE AMOUREUX	https://www.sothebys.com/content/dam/stb/lots/L19/L19007/184L19007_8ZH7R.jpg	4796	346609	550833	826249
